Día,Mes,Clasificacion PM10,Clasificacion PM2.5
Wed,Jan,PM10_BUENA,PM2.5_REGULAR
Wed,Jan,PM10_BUENA,PM2.5_REGULAR
Wed,Jan,PM10_BUENA,PM2.5_REGULAR
Wed,Jan,PM10_BUENA,PM2.5_REGULAR
Wed,Jan,PM10_BUENA,PM2.5_REGULAR
Wed,Jan,PM10_BUENA,PM2.5_BUENA
Wed,Jan,PM10_REGULAR,PM2.5_REGULAR
Wed,Jan,PM10_REGULAR,PM2.5_REGULAR
Wed,Jan,PM10_MALA,PM2.5_REGULAR
Wed,Jan,PM10_MALA,PM2.5_REGULAR
Wed,Jan,PM10_MALA,PM2.5_REGULAR
Wed,Jan,PM10_MALA,PM2.5_MALA
Wed,Jan,PM10_MALA,PM2.5_REGULAR
Wed,Jan,PM10_REGULAR,PM2.5_REGULAR
Wed,Jan,PM10_REGULAR,PM2.5_REGULAR
Wed,Jan,PM10_MALA,PM2.5_REGULAR
Wed,Jan,PM10_REGULAR,PM2.5_REGULAR
Wed,Jan,PM10_MALA,PM2.5_REGULAR
Wed,Jan,PM10_MALA,PM2.5_REGULAR
Wed,Jan,PM10_REGULAR,PM2.5_BUENA
Wed,Jan,PM10_REGULAR,PM2.5_BUENA
Thu,Jan,PM10_REGULAR,PM2.5_REGULAR
Thu,Jan,PM10_MALA,PM2.5_MALA
Thu,Jan,PM10_REGULAR,PM2.5_REGULAR
Thu,Jan,PM10_REGULAR,PM2.5_REGULAR
Thu,Jan,PM10_REGULAR,PM2.5_REGULAR
Thu,Jan,PM10_REGULAR,PM2.5_REGULAR
Thu,Jan,PM10_MALA,PM2.5_MALA
Thu,Jan,PM10_REGULAR,PM2.5_REGULAR
Thu,Jan,PM10_MALA,PM2.5_MALA
Thu,Jan,PM10_MALA,PM2.5_REGULAR
Thu,Jan,PM10_MALA,PM2.5_MALA
Thu,Jan,PM10_MALA,PM2.5_MALA
Thu,Jan,PM10_MALA,PM2.5_MALA
Thu,Jan,PM10_MALA,PM2.5_MALA
Thu,Jan,PM10_MALA,PM2.5_REGULAR
Thu,Jan,PM10_MALA,PM2.5_REGULAR
